STATE,OFFICE CITY,R SENATOR,OPPONENT,R VOTE %,OPPONENT VOTE %,THIRD PARTY,FLIPPED,NOTE,YEAR
NC,"Charlotte, Greenville, Hendersonville, Greensboro, Raleigh, ",Thom Tillis,Cal Cunningham,48.7,46.9,TRUE,,,2026
WI,"Milwaukee, Madison, Oshkosh",Ron Johnson,Mandela Barnes,50.4,49.4,,,,2028
NC,"Advance, Asheville, Raleigh, Wilmington",Ted Budd,Cheri Beasley,50.5,47.3,TRUE,,,2028
IA,"Cedar Rapids, Council Bluffs, Davenport, Des Moines, Sioux City",Joni Ernst,Theresa Greenfield,51.7,45.2,TRUE,,,2026
KS,"Garden City, Kansas City, Overland Park, Pittsburg, Salina, Topeka, Wichita",Roger Marshall,Barbara Bollier,53.2,41.8,TRUE,,,2026
UT,"Ogden, Salt Lake City, Vernal, St. George, ",Mike Lee,Evan McMullin,53.2,42.8,,,,2028
TX,"Houston, Harlingen, Lubbock, Dallas, San Antonio, Tyler, Austin, ",John Cornyn,MJ Hegar,53.5,43.9,TRUE,,,2026
AK,"Anchorage, Fairbanks, Juneau",Lisa Murkowski,Kelly Tshibaka,53.7,42.6,,,opponent also Republican,2028
AK,"Anchorage, Fairbanks, Juneau",Dan Sullivan,Al Gross,53.9,41.2,TRUE,TRUE,Opponent is independent,2026
MS,"Jackson, Gulfport, Oxford, Brookhaven",Cindy Hyde-Smith,Mike Espy,54.1,44.1,TRUE,,,2026
SC,"Greenville, Columbia, Florence, Charleston, Rock Hill, Pendleton",Lindsey Graham,Jaime Harrison,54.4,44.2,,,,2026
MT,"Bozeman, Great Falls, Helena, Billings, Missoula, Kalispell, Sidney",Steve Daines,Steve Bullock,55,45,,,,2026
MO,"Kansas City, Cape Girardeau, St. Louis",Eric Schmitt,Trudy Busch Valentine,55.4,42.2,TRUE,,,2028
IA,"Cedar Rapids, Council Bluffs, Davenport, Des Moines, Sioux City, Waterloo",Chuck Grassley,Michael Franken,56,43.8,,,,2028
ND,"Bismarck, Fargo, Grand Forks, Minot, Watford",John Hoeven,Katrina Christiansen,56.4,25,,,,2028
KY,"Louisville, Lexington, Fort Wright, London, Bowling Green, Paducah",Mitch McConnell,Amy McGrath,57.8,38.2,TRUE,,retiring,2026
IN,"Indianapolis, Fort Wayne, New Albany, Valpraiso",Todd Young,Thomas McDermott JR,58.6,37.9,,,,2028
LA,"Alexandria, Baton Rouge, Lafayette, Lake Charles, Metairie, Monroe, Shreveport",Bill Cassidy,Adrian Perkins,59.3,19,TRUE,,3 different dem candidates,2026
KS,"Hays, Wichita, Manhattan, Pittsburg, Olathe, Garden City",Jerry Moran,Mark Holland,60,37,TRUE,,,2028
AL,"Mobile, Huntsville, Hoover, Montgomery, Dothan, ",Tommy Tuberville,Doug Jones,60.1,39.7,TRUE,,,2026
ID,"Boise, Idaho Falls, Pocatello, Coeur d' Alene, Lewiston, Twin Falls",Mike Crapo,David Roth,60.7,28.7,,,,2028
LA,"Alexandria, Baton Rouge, Lafayette, Lake Charles, Metairie, Monroe, Shreveport",John Kennedy,Gary Chambers,61.6,17.9,,,two Dem opponents,2028
OK,"Oklahoma City, Tulsa",Markwayne Mullin,Kendra Horn,61.8,35.24,TRUE,,,2026
KY,"Bowling Green, ",Rand Paul,Charles Booker,61.8,38.2,,,,2028
TN,"Memphis, Jackson, Nashville, Cookeville, Chattanooga, Knoxville, Blountville, ",Bill Hagerty,Marquita Bradshaw,62.2,35.2,,,,2026
ID,"Boise, Idaho Falls, Pocatello, Coeur d' Alene, Lewiston, Twin Falls",Jim Risch,Paulette Jordan,62.6,33.3,TRUE,,,2026
NE,"Scottsbluff, Lincoln, Kearney, Omaha",Pete Ricketts,Preston Love Jr,62.6,37.42,TRUE,,2 different dem and 1 libertarian,2026
SC,"Columbia, Greenville, North Charleston",Tim Scott,Krystle Matthews,62.9,37,,,,2028
OK,"Oklahoma City, Tulsa",James Lankford,Madison Horn,64.3,32,TRUE,,,2028
SD,"Aberdeen, Sioux Falls, Rapid City, Pierre, ",Mike Rounds,Dan Ahlers,65.7,34.3,,,,2026
AR,"Little Rock, Fort Smith, Lowell, Mountain Home, Jonesboro, Stuttgar, El Dorado",John Boozman,Natalie James,65.7,31,,,,2028
AR,"Rogers, Jonesboro, Little Rock, El Dorado,",Tom Cotton,Ricky Dale Harringotn,66.5,33.5,,,Opponent is Libertarian,2026
AL,"Birmingham, Tuscaloosa, Mobile, Montgomery, Huntsville, Anniston, Dothan",Katie Britt,Will Boyd,66.6,30.9,TRUE,,,2028
SD,"Aberdeen, Sioux Falls, Rapid City,",John Thune,Brian Bengs,69.6,26.2,TRUE,,,2028
WV,"Charleston, Martinburg, Morgantown",Shelley Moore Capito,Paula Swearengin,70.3,27,TRUE,,,2026
WY,"Casper, Cheyenne, Cody, Jackson, Star Valley, Sundance, ",Cynthia Lummis,Merav Ben-David,72.8,26.9,,,,2026
